categoryCode,salesGrowthRate, operatingProfitGrowthRate
225570,0.09973373906428298,0.5255728295292714
095660,0.1151295107223919,0.5425011083185028
208640,0.3495498922277165,0.5128431015290248
042420,0.13650902894683184,0.6513779802423311
112040,0.294810083132887,0.08850285898780787
293490,0.2305078355820081,0.6277608297064989
201490,0.12549637687755158,0.5387571043223093
078340,0.14089395433012172,0.46027444572278303
058630,0.13350112897873956,0.5870726479236251
052790,0.03560980670147654,0.4860462811082723
060240,0.29306419959334234,0.3869356677598365
194480,0.5144762804738613,0.0
036570,0.14346925025113094,0.5581133248614365
263750,0.07143346292724045,0.47354713670560095
101730,0.16391023202738683,0.4569035135894797
063080,0.10027570577713349,0.3991268300978728
348030,0.1220498222252845,0.5766108346196571
067000,0.1569508441586655,0.5557596677882966
123420,0.16805535775771155,1.0
069080,0.1466148571478491,0.5615686340217372
251270,0.11902183075118566,0.4489129894298594
047080,0.18065726329611234,0.8511601033817321
023770,0.03832934847579199,0.5255728295292714
217270,0.12324584759731204,0.5075204658305211
204610,0.09973373906428298,0.5255728295292714
192080,0.11984661077286869,0.5336770213132536
259960,0.15673913375012052,0.5739491832584818
331520,0.17051843200702885,0.29223528326834114
205500,0.09973373906428298,0.4255143014672957
056000,0.06900768814043823,0.38086737448373326
033790,1.0,0.4139429070655706
299910,0.014806180036555108,0.902804981303157
950190,0.14368245586557177,0.5375760469984866
030350,0.0,0.4966317385201638
207760,0.16927659528873507,0.5302575385055658
